referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
DOCSS130117CQ0002,1331L519F13ES0560,DOCSS130117CQ0002~1331L519F13ES0560,1,DOC/ES/2017/ASI-0004,MDQ4HMX1Q8F1,"ASI GOVERNMENT, LLC",10326,4.96
DOCSS130117CQ0002,1331L519F13ES0560,DOCSS130117CQ0002~1331L519F13ES0560,2,DOC/ES/2017/ERI - 0004 ,EKB3FW39Z3T4,ERIMAX INC,10834,5.2
DOCSS130118CQ0006,1331L521F13OS0294,DOCSS130118CQ0006~1331L521F13OS0294,1,DOC-CM-SUB-0001,FEKYL8LJY3L5,Mission Services LLC,1222.5,0.58
DOCSS130118CQ0006,1331L522F13OS0204,DOCSS130118CQ0006~1331L522F13OS0204,1,DOC-CM-SUB-0001,FEKYL8LJY3L5,Mission Services LLC,623.01,0.29
DOCST133017CQ0042,1305M421FNAAJ0084,DOCST133017CQ0042~1305M421FNAAJ0084,1,AS19-02065,J54PPKN9GWG9,"BAKER TILLY BEERS & CUTLER, LLC",4109.8,1.97
DOCST133017CQ0042,1305M421FNAAJ0084,DOCST133017CQ0042~1305M421FNAAJ0084,2,IWO,SGK5EGB9VQM8,"ARCTIC SLOPE TECHNICAL SERVICES, INC.",28050,13.48
DOCST133017CQ0042,1305M421FNAAJ0084,DOCST133017CQ0042~1305M421FNAAJ0084,3,PO,VYN3SB8H8BL7,"ASRC FEDERAL HOLDING COMPANY, LLC",1650,0.79
DOCST133017CQ0042,1332KP20FNEEA0001,DOCST133017CQ0042~1332KP20FNEEA0001,1,ADS IWO,C6EMRJ67V4M3,"Agile Decision Sciences, LLC",931.9,0.44
DOCST133017CQ0042,1332KP20FNEEA0001,DOCST133017CQ0042~1332KP20FNEEA0001,2,AFDN IWO,H8L4SLLMSV15,ASRC Federal Data Networx LLC,738,0.35
DOCST133017CQ0042,1332KP20FNEEA0001,DOCST133017CQ0042~1332KP20FNEEA0001,3,AFSS IWO,FD7JDCJ4AMF9,ASRC FEDERAL SYSTEM SOLUTIONS LLC,7525,3.61
DOCST133017CQ0042,1332KP20FNEEA0001,DOCST133017CQ0042~1332KP20FNEEA0001,4,AS19-02065,J54PPKN9GWG9,"BAKER TILLY BEERS & CUTLER, LLC",47683.2,22.92
DOCST133017CQ0042,1332KP20FNEEA0001,DOCST133017CQ0042~1332KP20FNEEA0001,5,AS19-02143,J543ZT646ZK5,FORWARD MOTION CONSULTING LLC,1565,0.75
DOCST133017CQ0042,1332KP20FNEEA0001,DOCST133017CQ0042~1332KP20FNEEA0001,6,AS21-01524,KPMKLNMCK584,DM Cost One LLC,2005,0.96
DOCST133017CQ0042,1332KP20FNEEA0001,DOCST133017CQ0042~1332KP20FNEEA0001,7,ASTS IWO,SGK5EGB9VQM8,"ARCTIC SLOPE TECHNICAL SERVICES, INC.",14,0
DOCST133017CQ0042,1332KP21FNEEB0024,DOCST133017CQ0042~1332KP21FNEEB0024,1,AS21-00987,HYBLSJAMM2F4,"KBR WYLE SERVICES, LLC",10561,5.07
DOCST133017CQ0049,1305M218FNWWJ0207,DOCST133017CQ0049~1305M218FNWWJ0207,1,6000-SUB11,NKKQE6FG4C28,BY LIGHT PROFESSIONAL IT SERVICES LLC,1367,0.65
DOCST133017CQ0049,1305M320FNRMA0019,DOCST133017CQ0049~1305M320FNRMA0019,1,6000-SUB15,LRNZFADLK5S5,WOOD INTERNATIONAL,1648,0.79
DOCST133017CQ0049,1305M320FNRMA0019,DOCST133017CQ0049~1305M320FNRMA0019,2,6000-SUB16,MR91E7DVM798,SKYWALK TECH LLC,120,0.05
DOCST133017CQ0049,1332KP18FNAAA0003,DOCST133017CQ0049~1332KP18FNAAA0003,1,6000-CONS1,VE1KZ1DC1B85,ISTEK LLC,1344,0.64
DOCST133017CQ0049,1332KP18FNEEB0032,DOCST133017CQ0049~1332KP18FNEEB0032,1,6000-SUB12,NZEYAPNJR2C5,"HOLMES, WENDY",4909,2.36
DOCST133017CQ0049,1332KP22FNEEB0036,DOCST133017CQ0049~1332KP22FNEEB0036,1,6113-SUB01,NZEYAPNJR2C5,"HOLMES, WENDY",125,0.06
DOCST133017CQ0049,1332KP22FNEEG0010,DOCST133017CQ0049~1332KP22FNEEG0010,1,6500-SUB,VE1KZ1DC1B85,ISTEK LLC,624,0.3
DOCST133017CQ0050,1305L220FNWWG0159,DOCST133017CQ0050~1305L220FNWWG0159,1,SA19-JGMS01,DL8TWTBGUEC5,JGMS GOVERNMENT SERVICES LLC,1704,0.81
DOCST133017CQ0050,1332KP18FNEEJ0015,DOCST133017CQ0050~1332KP18FNEEJ0015,1,SA18-STC01,TUHBZQDC4XW8,SCIENCE AND TECHNOLOGY CORPORATION,6897.75,3.31
DOCST133017CQ0050,1332KP18FNEEJ0015,DOCST133017CQ0050~1332KP18FNEEJ0015,2,SA19-DVS01,YXH4AGD2LGF5,Directviz Solutions LLC,1868,0.89
DOCST133017CQ0050,1332KP20FNEEA0030,DOCST133017CQ0050~1332KP20FNEEA0030,1,PROTECH-20-CRD001,HGDJZMMJKCM3,"Clear Ridge Defense, LLC",4341.25,2.08
DOCST133017CQ0050,1332KP20FNEEA0030,DOCST133017CQ0050~1332KP20FNEEA0030,2,PROTECH-20-FCL001,Y47GYZZG93W4,Footprint Consulting LLC,4583,2.2
DOCST133017CQ0050,1332KP20FNEEA0030,DOCST133017CQ0050~1332KP20FNEEA0030,3,SA17-SSAI01,PJ2SP76D3HJ3,SCIENCE SYSTEMS & APPLICATIONS INC,1284,0.61
DOCST133017CQ0050,1332KP20FNEEA0030,DOCST133017CQ0050~1332KP20FNEEA0030,4,SA20-M2S01,CAW2NYCZME83,M2 Strategy Inc,19525,9.38
DOCST133017CQ0050,1332KP20FNEEA0030,DOCST133017CQ0050~1332KP20FNEEA0030,5,SA21-OST01,WTBCF4RER7H5,"OVERLOOK SYSTEMS TECHNOLOGIES, INC.",3817,1.83
DOCST133017CQ0050,1332KP22FNEED0042,DOCST133017CQ0050~1332KP22FNEED0042,1,PROTECH-22-EBD01,RF5KTQ3RG296,EARTH BIG DATA LLC,65,0.03
DOCST133017CQ0050,1332KP22FNEED0042,DOCST133017CQ0050~1332KP22FNEED0042,2,PROTECH-22-GOA01,NYKSYF8D9J27,"JACKSON, CHRISTOPHER",80,0.03
DOCST133017CQ0050,1332KP22FNEED0042,DOCST133017CQ0050~1332KP22FNEED0042,3,SA19-RPL01,RBMNQLAX7FC3,REEFSENSE PTY LTD,88,0.04
DOCST133017CQ0050,DOCT0004,DOCST133017CQ0050~DOCT0004,1,SA17-SSAI01,PJ2SP76D3HJ3,SCIENCE SYSTEMS & APPLICATIONS INC,7619,3.66
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,1,PROTECH-18-GOA01,NYKSYF8D9J27,"JACKSON, CHRISTOPHER",1796,0.86
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,2,PROTECH-20-EBD01,RF5KTQ3RG296,EARTH BIG DATA LLC,947,0.45
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,3,PROTECH-20-LSU01,ECQEYCHRNKJ4,LOUISIANA STATE UNIVERSITY,112,0.05
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,4,PROTECH-21-UMD01,NPU8ULVAAS23,"UNIVERSITY OF MARYLAND, COLLEGE PARK",742,0.35
