referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,10,SC-1032539,UR7MGM3JDAM8,"CHEROKEE CHEMICAL CO., INC.",1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,11,SC-1032540,UR7MGM3JDAM8,"CHEROKEE CHEMICAL CO., INC.",1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,12,SC-1032543,JSRDFTTE8WA6,"PACIFIC RIM MECHANICAL CONTRACTORS, INC.",1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,13,SC-1032588,RR4DVMQCVAS5,KONE INC.,1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,14,SC-1032627,WVUPHJME61B6,ADT COMMERCIAL LLC,1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,15,SC-1032634,UR7MGM3JDAM8,"CHEROKEE CHEMICAL CO., INC.",1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,16,SC-1032677,FGTMAYVAHLT3,"Sanchez, Daniel",1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,17,SC-1032678,YKHNBNMYPAN5,"Mesa Energy Systems, Inc.",1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,18,SC-10327255,JQ6NL2KEE439,ELEVATED TECHNOLOGIES LLC,1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,19,SC-1032746,WVUPHJME61B6,ADT COMMERCIAL LLC,1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,20,SC-1032782,YKHNBNMYPAN5,"Mesa Energy Systems, Inc.",1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,21,SC-1032785,GAXQB3KHHWN8,"Sunbelt Controls, Inc.",1,0.00
